code	symbol
0	Control
1753	11756
1754	117576906
1755	11758267
1756	1176
1757	117602383
1758	11760306
1759	117604931
1760	117611788
1761	117621212
1762	117636625
1763	11763739
1764	1177
1765	11771269
1766	117727555
1767	11773081
1768	11773617
1769	11773916
1770	117752163
1771	117761397
1772	11777027
1773	117779453
1774	11779541
1775	117797905
1776	117817422
1777	117819668
1778	117822197
1779	11784504
1780	11784736
1781	117853645
1782	117857370
1783	11785878
1784	11787645
1785	117880050
1786	117880110
1787	117883712
1788	11790
1789	117902000
1790	117909640
1791	117918742
1792	117947087
1793	117947097
1794	117947105
1795	117951478
1796	117953038
1797	11795481
1798	11796489
1799	117964975
1800	117965
1801	117967296
1802	117972004
1803	117977934
1804	117978172
1805	117978438
1806	117991392
1807	117996749
1808	118000986
1809	118016229
1810	118021883
1811	118023034
1812	118036714
1813	118036716
1814	118036840
1815	118036971
1816	11804184
1817	118045847
1818	11806
1819	118063735
1820	1180676
1821	11808386
1822	118094189
1823	11810219
1824	11810423
1825	118107483
1826	118107484
1827	118115473
1828	118116220
1829	118130255
1830	11813266
1831	118139356
1832	11815492
1833	118158953
1834	118160666
1835	118161062
1836	118163156
1837	118166560
1838	118169620
1839	118170767
1840	11818276
1841	118191391
1842	118196485
1843	118203189
1844	1182101
1845	118211239
1846	118223999
1847	118224080
1848	118224238
1849	118224491
1850	11822705
1851	118237053
1852	118237331
1853	118238298
1854	118238370
1855	11824
1856	118247742
1857	118247752
1858	118253852
1859	1182617
1860	118261815
1861	118278088
1862	118278442
1863	11827970
1864	11828024
1865	118286428
1866	11828754
1867	118288050
1868	118295624
1869	1183
1870	118303686
1871	11831
1872	118310260
1873	1183113
1874	118323590
1875	118340554
1876	11834987
1877	11835386
1878	118356203
1879	118370964
1880	11837140
1881	11837221
1882	118374168
1883	11837558
1884	118384725
1885	118414016
1886	118418385
1887	11842604
1888	118426108
1889	11842675
1890	118430507
1891	118430627
1892	118434635
1893	118435360
1894	11844351
1895	11845944
1896	11846300
1897	118465221
1898	118467751
1899	11847
1900	118470069
1901	118470204
1902	118475349
1903	11848206
1904	11848225
1905	11848302
1906	11848679
1907	11849513
1908	11850
1909	118502708
1910	118510597
1911	11851170
1912	11851183
1913	118514606
1914	118514742
1915	118518043
1916	118522230
1917	11852606
1918	11854012
1919	118540138
1920	118540525
1921	118552545
1922	1185541
1923	118557502
1924	118560618
1925	11857239
1926	118574930
1927	118583099
1928	118598059
1929	118598754
1930	118599727
1931	118607432
1932	118607832
1933	118610427
1934	118616775
1935	11862
1936	118621601
1937	118626505
1938	118627280
1939	118628567
1940	118634407
1941	118636274
1942	1186422
1943	118647211
1944	118649285
1945	11865433
1946	118663155
1947	118665163
1948	118676157
1949	11868648
1950	11868768
1951	118693658
1952	118693659
1953	118694876
1954	118695109
1955	11869580
1956	11869658
1957	118701008
1958	11870423
1959	11870426
1960	118704750
1961	118704751
1962	118704752
1963	118704753
1964	118704754
1965	118704759
1966	118704762
1967	118704772
1968	118704899
1969	118705186
1970	118710946
1971	118715600
1972	118720615
1973	118720981
1974	118721244
1975	118723361
1976	118723363
1977	11872394
1978	118735338
1979	118735582
1980	118735769
1981	118736856
1982	118737587
1983	11874
1984	11875278
1985	11876135
1986	11876263
1987	11877495
1988	118796328
1989	118796358
1990	118797323
1991	118798478
1992	1188
1993	1188139
1994	1188388
1995	118856308
1996	118869362
1997	118873207
1998	118873253
1999	118879529
2000	118888941
2001	118892432
2002	118908379
2003	118911741
2004	118912975
2005	11892032
2006	118947820
2007	1189521
2008	118953461
2009	118955396
2010	118958122
2011	118958833
2012	118959080
2013	1189620
2014	118977746
2015	118984375
2016	118986645
2017	118986647
2018	118986699
2019	118988431
2020	119
2021	11902
2022	119031
2023	119032
2024	119034
2025	119041
2026	119054
2027	119057297
2028	119058028
2029	119081
2030	119081410
2031	119081411
2032	119081412
2033	119081413
2034	119081416
2035	119081417
2036	11908593
2037	119093
2038	119099083
2039	119099207
2040	119099480
2041	119099494
2042	119099811
2043	119099846
2044	119099926
2045	119099929
2046	119099930
2047	119099955
2048	119099956
2049	119099966
2050	119100007
2051	119100010
2052	119100014
2053	119100018
2054	119100029
2055	119100033
2056	119100040
2057	119100049
2058	119100050
2059	119100162
2060	119100172
2061	119100192
2062	119100304
2063	119100562
2064	119100856
2065	119100863
2066	119100888
2067	119100900
2068	119100901
2069	119100950
2070	119101455
2071	119101483
2072	119101516
2073	119101582
2074	119101614
2075	119101620
2076	119101631
2077	119102273
2078	119102300
2079	119102536
2080	119102572
2081	119102611
2082	119102876
2083	119102930
2084	119102931
2085	119103232
2086	119103429
2087	119103457
2088	119103480
2089	119103544
2090	119103559
