cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
CVCL_0504,heldout_molecules,knn_baseline_MolT5,knn,MolT5,L2,5.393100785339155,0.001995661131324784,0.016839158592580894,0.34826887573724913,0.4567350975557443,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-55.428029.json
CVCL_0504,heldout_molecules,knn_baseline_avalon,knn,avalon,L2,5.332208901599572,0.0019923027057462675,0.016643355248618874,0.3635167918224392,0.47914646723982296,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-56.697790.json
CVCL_0504,heldout_molecules,knn_baseline_boltz_affinity_pred_value_fragment,knn,boltz_affinity_pred_value_fragment,L2,5.365205710181673,0.0019836255632019713,0.016750033359282667,0.3578641722311906,0.46963162345137144,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-19.866816.json
CVCL_0504,heldout_molecules,knn_baseline_boltz_affinity_pred_value_protein,knn,boltz_affinity_pred_value_protein,L2,5.376193316167572,0.001995663578135379,0.01677536016249472,0.3560200775209758,0.46608607066353785,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-26.457491.json
CVCL_0504,heldout_molecules,knn_baseline_chatgpt,knn,chatgpt,L2,5.362128623602432,0.0019724958056960154,0.016793680385494114,0.34636017848016865,0.4655271240713823,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-09.080108.json
CVCL_0504,heldout_molecules,knn_baseline_ecfp:2,knn,ecfp:2,L2,5.33774553142705,0.0019900131694705263,0.01667044104304347,0.3608364472767324,0.47715905781966184,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-56.169620.json
CVCL_0504,heldout_molecules,knn_baseline_erg,knn,erg,L2,5.35624162209506,0.001993038855627998,0.016751356877898468,0.3538447237354257,0.4716008878484831,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-29.362882.json
CVCL_0504,heldout_molecules,knn_baseline_maccs,knn,maccs,L2,5.353967402042936,0.001997659184617852,0.01671896316756823,0.3583933864249563,0.4708297096481974,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-08.085669.json
CVCL_0504,heldout_molecules,knn_baseline_morgan_initialized_lpm,knn,morgan_initialized_lpm,L2,5.388784652902918,0.0020375317315584384,0.01678551855814027,0.3495161654957077,0.4520617527929308,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-40-33.613226.json
CVCL_0504,heldout_molecules,knn_baseline_pca,knn,pca,L2,3.7214940685485445,0.0011503756832270341,0.011995210835070467,0.6246282446616875,0.7952794471876314,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-40-37.821418.json
